,,,,MADE BY @ MYFANTASYHOOPS,,,,,,,,,,,,
AVERAGE PROJECTIONS COMPILATION - MYFANTASYHOOPS PROJECTIONS,,,,,,,,,,,,,,,,
PLAYER,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA
John Konchar,242,72,"21,4","0,466","0,715","6,3","1,0","5,1","1,8","1,1","0,4","0,6","2,4","5,0","0,7","0,9"
Jayson Tatum,5,75,"36,7","0,468","0,856","29,8","3,2","8,0","5,1","1,1","0,7","2,9","9,9","21,3","6,9","8,1"
Trae Young,19,75,"35,0","0,436","0,889","26,6","2,3","3,2","9,8","1,1","0,1","4,0","8,5","19,5","7,5","8,5"
Jamal Murray,47,69,"34,2","0,459","0,843","20,9","2,7","4,1","6,2","1,1","0,3","2,3","7,6","16,5","2,8","3,4"
Scoot Henderson,109,74,"30,9","0,436","0,777","15,6","1,2","4,7","5,8","1,1","0,4","3,1","6,0","13,7","2,5","3,2"
Jaren Jackson Jr.,22,70,"30,8","0,477","0,802","19,6","1,8","7,1","1,1","1,1","2,7","1,8","6,7","14,0","4,1","5,2"
Kelly Oubre Jr.,171,67,"28,5","0,442","0,750","15,9","1,9","4,0","1,0","1,1","0,4","1,0","5,5","12,5","2,5","3,3"
Khris Middleton,80,64,"31,6","0,451","0,894","18,7","2,4","5,1","5,1","1,0","0,2","2,6","6,3","14,1","3,3","3,7"
Joel Embiid,3,67,"34,8","0,528","0,842","32,1","1,1","10,7","4,2","1,0","1,6","3,3","10,5","19,9","9,9","11,8"
Caleb Martin,151,71,"28,5","0,468","0,787","10,2","1,2","5,0","1,6","1,0","0,5","1,1","3,8","8,1","1,3","1,7"
Trey Murphy III,112,67,"29,0","0,476","0,899","14,5","2,5","3,7","1,6","1,0","0,5","0,9","4,9","10,4","2,3","2,5"
T.J. McConnell,195,66,"19,3","0,520","0,807","7,6","0,3","3,0","4,8","1,0","0,2","1,6","3,4","6,6","0,6","0,8"
Giannis Antetokounmpo,14,66,"33,3","0,561","0,680","30,1","0,9","11,8","5,8","1,0","1,1","3,6","10,7","19,1","8,0","11,8"
Devin Booker,16,68,"35,0","0,487","0,867","26,1","2,2","4,8","6,3","1,0","0,3","2,6","9,2","18,9","5,4","6,2"
DeMar DeRozan,37,75,"35,9","0,497","0,872","24,6","0,7","4,7","5,1","1,0","0,4","2,2","8,9","17,9","6,3","7,2"
Franz Wagner,68,78,"33,5","0,486","0,851","19,3","1,8","4,3","3,8","1,0","0,3","2,1","7,0","14,4","3,6","4,2"
Kyle Anderson,124,70,"25,9","0,490","0,711","8,7","0,6","5,2","3,8","1,0","0,7","1,2","3,4","7,0","1,2","1,7"
Stephen Curry,8,63,"34,7","0,477","0,914","28,1","4,8","5,5","5,6","1,0","0,3","3,1","9,4","19,6","4,5","4,9"
Pascal Siakam,35,71,"36,5","0,479","0,769","23,7","1,3","7,8","5,6","1,0","0,5","2,4","8,8","18,3","4,9","6,4"
Buddy Hield,93,77,"29,1","0,443","0,842","15,5","3,2","4,6","2,8","1,0","0,3","1,7","5,7","12,8","1,3","1,6"
Kevin Huerter,112,75,"31,3","0,466","0,760","14,5","2,6","3,5","3,0","1,0","0,3","1,3","5,3","11,4","1,2","1,5"
Robert Covington,212,42,"21,7","0,439","0,792","6,7","1,3","4,1","1,2","1,0","0,8","0,8","2,4","5,6","0,7","0,9"
Xavier Tillman Sr.,252,68,"16,9","0,548","0,593","6,2","0,1","4,2","1,4","1,0","0,4","0,7","2,6","4,7","0,9","1,5"
Josh Okogie,334,72,"23,4","0,401","0,736","8,2","1,0","4,3","1,6","1,0","0,6","1,1","2,7","6,7","2,3","3,2"
LeBron James,25,57,"35,1","0,505","0,757","27,6","2,4","8,0","6,5","1,0","0,6","3,1","10,5","20,8","4,4","5,8"
Alperen Sengun,58,75,"30,4","0,540","0,716","15,4","0,4","9,5","4,0","1,0","1,0","2,7","6,2","11,4","3,0","4,2"
CJ McCollum,78,73,"34,6","0,447","0,743","20,5","2,8","4,2","5,3","1,0","0,4","2,2","7,8","17,5","2,2","2,9"
Caris LeVert,164,70,"29,2","0,435","0,746","13,1","1,6","3,7","3,9","1,0","0,3","1,7","4,8","11,1","1,9","2,6"
Gabe Vincent,206,71,"25,9","0,411","0,849","9,8","1,8","2,3","2,9","1,0","0,1","1,5","3,5","8,5","1,0","1,2"
Andrew Nembhard,273,74,"26,8","0,444","0,803","9,8","1,2","2,7","4,4","1,0","0,2","1,7","4,0","8,8","0,7","0,9"
Jalen Brunson,35,71,"35,2","0,493","0,830","23,9","2,1","3,8","6,3","1,0","0,1","2,1","8,8","17,8","4,5","5,4"
Bradley Beal,63,62,"33,5","0,481","0,846","21,5","1,7","4,0","4,9","1,0","0,5","2,9","7,9","16,4","3,8","4,5"
Paolo Banchero,71,74,"34,4","0,440","0,747","22,4","1,4","7,7","4,2","1,0","0,7","2,8","7,5","17,2","5,8","7,8"
Luguentz Dort,167,71,"29,2","0,398","0,788","13,6","1,9","3,9","1,9","1,0","0,3","1,3","4,8","12,0","2,7","3,4"
Dillon Brooks,176,72,"28,6","0,413","0,798","14,9","1,8","3,4","2,4","1,0","0,2","1,5","5,7","13,7","1,9","2,3"
Kevin Porter Jr.,233,40,"24,4","0,435","0,759","13,0","1,9","3,7","4,4","1,0","0,2","2,3","4,5","10,4","2,2","2,9"
D'Angelo Russell,85,69,"31,4","0,447","0,824","17,1","2,6","3,0","6,2","1,0","0,4","2,5","6,0","13,5","2,6","3,2"
Russell Westbrook,115,72,"30,2","0,446","0,665","15,8","1,1","5,9","7,3","1,0","0,4","3,5","5,9","13,4","2,8","4,2"
Cody Martin,257,62,"23,6","0,446","0,652","6,7","0,7","3,6","2,0","1,0","0,3","0,7","2,5","5,6","0,9","1,3"
Ricky Rubio,324,38,"19,0","0,361","0,847","7,3","1,0","2,6","4,3","1,0","0,2","1,5","2,5","6,9","1,4","1,7"
Mitchell Robinson,101,68,"26,7","0,693","0,483","8,0","0,0","9,3","0,8","0,9","1,8","0,8","3,5","5,0","1,1","2,3"
Immanuel Quickley,119,77,"26,8","0,443","0,849","15,1","2,1","3,9","3,5","0,9","0,1","1,3","5,3","11,8","2,7","3,2"
Patrick Williams,135,74,"29,2","0,473","0,820","11,0","1,4","4,3","1,3","0,9","0,8","1,3","4,2","8,8","1,3","1,6"
Patrick Beverley,207,64,"23,9","0,406","0,724","6,6","1,2","3,6","3,2","0,9","0,7","0,9","2,3","5,6","0,8","1,1"
Dennis Smith Jr.,229,52,"17,1","0,412","0,702","5,7","0,3","2,1","3,3","0,9","0,3","1,2","2,2","5,3","1,0","1,4"
Killian Hayes,260,68,"19,9","0,378","0,812","6,5","0,7","2,5","4,2","0,9","0,3","1,6","2,5","6,8","0,8","1,0"
Cam Reddish,260,52,"21,0","0,423","0,862","9,2","1,1","2,3","1,2","0,9","0,3","1,1","3,3","7,6","1,6","1,9"
Jaden Ivey,125,75,"32,4","0,427","0,758","17,4","1,8","4,2","5,5","0,9","0,2","3,4","6,0","14,1","3,9","5,1"
Jaden McDaniels,115,75,"30,1","0,497","0,749","11,6","1,4","4,1","1,7","0,9","1,0","1,3","4,5","9,1","1,2","1,6"
Domantas Sabonis,13,74,"34,7","0,595","0,741","19,1","0,5","12,0","7,0","0,9","0,5","3,0","7,2","12,2","4,1","5,5"
Jordan Poole,57,78,"34,4","0,435","0,880","25,2","3,3","3,4","5,0","0,9","0,3","3,3","8,4","19,3","5,1","5,8"
Josh Giddey,64,74,"32,8","0,479","0,730","17,3","1,1","8,0","6,6","0,9","0,4","2,9","7,4","15,5","1,5","2,1"
P.J. Washington,103,69,"30,4","0,448","0,730","13,4","1,8","5,0","2,3","0,9","1,0","1,4","5,2","11,6","1,4","1,9"
Jeremy Sochan,150,65,"29,5","0,451","0,713","11,8","0,7","5,5","3,4","0,9","0,5","2,0","4,8","10,5","1,6","2,3"
Royce O'Neale,176,76,"29,7","0,417","0,753","8,6","1,9","5,1","3,3","0,9","0,6","1,4","3,1","7,4","0,7","1,0"
Jae Crowder,179,63,"24,1","0,427","0,783","7,7","1,5","4,0","1,5","0,9","0,4","0,6","2,7","6,3","0,8","1,0"
Jalen McDaniels,220,73,"20,2","0,464","0,810","8,6","0,9","4,0","1,5","0,9","0,5","1,1","3,2","6,9","1,3","1,6"
Jaden Springer,239,58,"12,1","0,500","0,752","5,8","0,3","2,1","1,1","0,9","0,7","0,5","2,4","4,7","0,8","1,1"
Gary Harris,242,61,"24,8","0,437","0,860","9,5","1,8","2,2","1,5","0,9","0,2","0,8","3,5","8,0","1,1","1,3"
Damian Lillard,12,68,"34,9","0,456","0,902","28,5","3,8","4,1","7,0","0,9","0,3","3,0","8,5","18,8","7,6","8,5"
Kevin Durant,14,59,"35,5","0,531","0,902","25,6","1,9","6,9","4,8","0,9","1,2","3,0","8,8","16,6","5,7","6,4"
Keegan Murray,98,79,"32,3","0,463","0,776","14,9","2,9","5,4","1,4","0,9","0,6","0,9","5,3","11,4","1,3","1,7"
Deni Avdija,144,76,"27,7","0,433","0,737","10,0","1,1","6,7","2,9","0,9","0,5","1,6","3,6","8,5","1,7","2,3"
Kyle Lowry,153,59,"26,4","0,420","0,858","9,8","1,7","3,6","4,9","0,9","0,3","1,7","3,2","7,5","1,9","2,2"
Larry Nance Jr.,207,66,"21,3","0,580","0,689","6,4","0,3","5,1","1,6","0,9","0,5","0,7","2,7","4,6","0,8","1,1"
Jevon Carter,252,73,"27,5","0,423","0,825","9,4","2,0","2,8","3,0","0,9","0,4","1,2","3,4","8,0","0,5","0,6"
Kris Dunn,264,62,"17,5","0,483","0,818","8,6","0,4","3,1","4,1","0,9","0,3","1,3","3,6","7,6","1,5","1,8"
Mark Williams,86,70,"27,2","0,625","0,691","12,6","0,0","9,5","0,7","0,9","1,3","1,3","5,3","8,6","2,1","3,0"
Evan Mobley,44,78,"34,5","0,540","0,683","16,6","0,3","9,3","2,9","0,9","1,6","1,9","6,7","12,5","2,7","4,0"
Jakob Poeltl,69,73,"28,4","0,622","0,565","13,0","0,0","10,0","2,6","0,9","1,5","1,5","5,8","9,2","1,6","2,8"
Jusuf Nurkic,107,58,"27,5","0,526","0,676","13,4","0,5","9,5","2,8","0,9","0,8","2,2","5,1","9,7","2,6","3,8"
Saddiq Bey,139,78,"29,2","0,428","0,848","13,7","2,2","4,7","1,8","0,9","0,2","0,9","4,8","11,2","2,0","2,4"
Bogdan Bogdanovic,143,59,"26,9","0,445","0,831","13,9","2,6","3,2","2,8","0,9","0,3","1,1","5,1","11,4","1,3","1,5"
Dennis Schroder,145,70,"31,2","0,428","0,844","13,7","1,4","3,1","4,8","0,9","0,2","2,1","4,7","10,9","2,8","3,3"
Anthony Black,203,74,"23,0","0,440","0,711","9,0","0,9","3,1","3,1","0,9","0,3","2,1","3,4","7,8","1,6","2,3"
Dyson Daniels,301,67,"19,5","0,419","0,662","4,6","0,5","3,4","2,6","0,9","0,2","1,1","1,7","4,0","0,6","0,8"
