,,,,MADE BY @ MYFANTASYHOOPS,,,,,,,,,,,,
AVERAGE PROJECTIONS COMPILATION - MYFANTASYHOOPS PROJECTIONS,,,,,,,,,,,,,,,,
PLAYER,RANK,GP,MPG,FG%,FT%,PTS,3PM,REB,AST,STL,BLK,TO,FGM,FGA,FTM,FTA
Damian Jones,328,60,"12,6","0,642","0,729","4,3","0,2","3,2","0,6","0,3","0,6","0,7","1,6","2,6","0,8","1,1"
Cody Zeller,418,44,"11,2","0,599","0,716","4,7","0,0","3,3","0,6","0,3","0,3","0,6","1,3","2,2","0,9","1,3"
Jordan Nwora,423,31,"4,8","0,421","0,797","4,8","0,7","2,2","0,8","0,3","0,2","0,6","1,7","4,1","0,7","0,9"
Omer Yurtseven,307,44,"10,1","0,537","0,657","4,3","0,0","4,0","0,6","0,2","0,3","0,6","1,9","3,5","0,6","0,9"
Doug McDermott,311,51,"18,7","0,469","0,763","9,3","1,6","2,2","1,2","0,2","0,1","0,8","3,4","7,2","0,7","0,9"
DeAndre Jordan,315,34,"12,7","0,709","0,495","4,3","0,0","4,7","0,7","0,2","0,6","0,9","2,0","2,7","0,5","1,0"
Mo Bamba,262,52,"15,2","0,482","0,674","5,8","0,8","4,6","0,7","0,2","0,9","0,6","2,0","4,2","0,6","1,0"
Trayce Jackson-Davis,338,46,"9,3","0,443","0,552","3,6","0,1","1,8","1,0","0,2","0,2","0,6","1,5","2,7","0,8","1,2"
Kobe Brown,354,24,"7,9","0,335","0,567","3,7","0,6","1,1","0,4","0,2","0,1","0,3","2,2","4,9","0,5","0,7"
Jericho Sims,356,29,"10,4","0,745","0,411","2,3","0,0","4,5","0,4","0,2","0,4","0,4","1,0","1,3","0,2","0,4"
Micah Potter,360,10,"8,4","0,577","0,769","3,7","0,4","2,5","0,4","0,2","0,1","0,3","1,5","2,7","0,2","0,3"
Patrick Baldwin Jr.,378,40,"8,4","0,395","0,652","4,6","1,2","1,5","0,4","0,2","0,2","0,4","1,6","4,1","0,2","0,2"
Jabari Walker,381,68,"11,4","0,448","0,750","4,2","0,3","2,4","0,6","0,2","0,2","0,5","1,7","3,7","0,6","0,8"
Peyton Watson,383,69,"15,8","0,492","0,576","6,5","0,5","3,2","0,9","0,2","0,9","0,7","2,5","5,1","1,0","1,7"
Alex Len,387,41,"9,6","0,557","0,647","3,4","0,1","2,5","0,6","0,2","0,5","0,6","1,2","2,2","0,6","0,9"
Julian Strawther,387,38,"9,6","0,368","0,663","4,4","0,8","1,2","0,6","0,2","0,1","0,4","1,7","3,9","0,4","0,6"
Nick Smith Jr.,393,40,"8,2","0,312","0,532","3,2","0,4","1,0","0,7","0,2","0,1","0,4","1,5","3,5","0,4","0,6"
AJ Green,394,30,"8,4","0,423","1,000","3,8","1,1","1,1","0,5","0,2","0,0","0,2","1,3","3,1","0,1","0,1"
Rayan Rupert,400,27,"7,1","0,291","0,570","2,4","0,3","0,6","0,7","0,2","0,1","0,4","1,3","3,2","0,6","0,8"
Jay Huff,401,10,"4,4","0,537","0,935","2,0","0,2","1,0","0,4","0,2","0,2","0,2","0,6","1,1","0,6","0,6"
Andre Jackson,411,50,"7,1","0,330","0,571","2,0","0,2","0,4","0,7","0,2","0,1","0,3","0,9","2,0","0,4","0,5"
Thanasis Antetokounmpo,416,30,"8,4","0,516","0,588","2,8","0,0","1,8","0,5","0,2","0,2","0,5","1,1","2,2","0,5","0,9"
Caleb Houstan,417,40,"10,4","0,362","0,826","2,5","0,6","1,3","0,4","0,2","0,1","0,2","0,9","2,4","0,2","0,2"
